,Player,Team,Bye
0,Christian McCaffrey,CAR,13.0
1,Ezekiel Elliott,DAL,10.0
2,Saquon Barkley,NYG,11.0
3,Derrick Henry,TEN,7.0
4,Michael Thomas,NO,6.0
5,Dalvin Cook,MIN,7.0
6,Alvin Kamara,NO,6.0
7,Davante Adams,GB,5.0
8,Nick Chubb,CLE,9.0
9,Tyreek Hill,KC,10.0
10,Joe Mixon,CIN,9.0
11,Julio Jones,ATL,10.0
12,Josh Jacobs,LV,6.0
13,Clyde Edwards-Helaire,KC,10.0
14,DeAndre Hopkins,ARI,8.0
15,Aaron Jones,GB,5.0
16,Lamar Jackson,BAL,8.0
17,Travis Kelce,KC,10.0
18,Patrick Mahomes,KC,10.0
19,Chris Godwin,TB,13.0
20,Kenyan Drake,ARI,8.0
21,Miles Sanders,PHI,9.0
22,George Kittle,SF,11.0
23,Kenny Golladay,DET,5.0
24,Austin Ekeler,LAC,10.0
25,Mike Evans,TB,13.0
26,Amari Cooper,DAL,10.0
27,Todd Gurley,ATL,10.0
28,Odell Beckham Jr.,CLE,9.0
29,JuJu Smith-Schuster,PIT,8.0
30,Chris Carson,SEA,6.0
31,Leonard Fournette,,
32,Jonathan Taylor,IND,7.0
33,A.J. Brown,TEN,7.0
34,Adam Thielen,MIN,7.0
35,Mark Andrews,BAL,8.0
36,Cooper Kupp,LAR,9.0
37,Allen Robinson,CHI,11.0
38,D.J. Moore,CAR,13.0
39,David Johnson,HOU,8.0
40,Deshaun Watson,HOU,8.0
41,Calvin Ridley,ATL,10.0
42,Dak Prescott,DAL,10.0
43,Mark Ingram II,BAL,8.0
44,Melvin Gordon,DEN,8.0
45,James Conner,PIT,8.0
46,Raheem Mostert,SF,11.0
47,Tyler Lockett,SEA,6.0
48,Courtland Sutton,DEN,8.0
49,Zach Ertz,PHI,9.0
50,Le'Veon Bell,NYJ,11.0
51,DeVante Parker,MIA,11.0
52,Keenan Allen,LAC,10.0
53,D.K. Metcalf,SEA,6.0
54,Robert Woods,LAR,9.0
55,Russell Wilson,SEA,6.0
56,Kyler Murray,ARI,8.0
57,Stefon Diggs,BUF,11.0
58,Devin Singletary,BUF,11.0
59,D.J. Chark,JAC,7.0
60,T.Y. Hilton,IND,7.0
61,A.J. Green,CIN,9.0
62,Darren Waller,LV,6.0
63,Terry McLaurin,WAS,8.0
64,Cam Akers,LAR,9.0
65,David Montgomery,CHI,11.0
66,D'Andre Swift,DET,5.0
67,Jarvis Landry,CLE,9.0
68,Drew Brees,NO,6.0
69,Kareem Hunt,CLE,9.0
70,Josh Allen,BUF,11.0
71,Rob Gronkowski,TB,13.0
72,Michael Gallup,DAL,10.0
73,Marquise Brown,BAL,8.0
74,Julian Edelman,NE,6.0
75,Matt Ryan,ATL,10.0
76,Aaron Rodgers,GB,5.0
77,Tom Brady,TB,13.0
78,Evan Engram,NYG,11.0
79,Tyler Boyd,CIN,9.0
80,Hunter Henry,LAC,10.0
81,Jared Cook,NO,6.0
82,Deebo Samuel,SF,11.0
83,Brandin Cooks,HOU,8.0
84,Ronald Jones II,TB,13.0
85,Will Fuller,HOU,8.0
86,Jordan Howard,MIA,11.0
87,Carson Wentz,PHI,9.0
88,Marvin Jones,DET,5.0
89,Kerryon Johnson,DET,5.0
90,Sony Michel,NE,6.0
91,J.K. Dobbins,BAL,8.0
92,Marlon Mack,IND,7.0
93,Phillip Lindsay,DEN,8.0
94,Tyler Higbee,LAR,9.0
95,James White,NE,6.0
96,CeeDee Lamb,DAL,10.0
97,Austin Hooper,CLE,9.0
98,Christian Kirk,ARI,8.0
99,Emmanuel Sanders,NO,6.0
100,John Brown,BUF,11.0
101,Matthew Stafford,DET,5.0
102,Jerry Jeudy,DEN,8.0
103,Darius Slayton,NYG,11.0
104,Tarik Cohen,CHI,11.0
105,Matt Breida,MIA,11.0
106,Golden Tate,NYG,11.0
107,Daniel Jones,NYG,11.0
108,Baker Mayfield,CLE,9.0
109,Tevin Coleman,SF,11.0
110,Diontae Johnson,PIT,8.0
111,San Francisco 49ers,DST,11.0
112,Sterling Shepard,NYG,11.0
113,Ke'Shawn Vaughn,TB,13.0
114,Hayden Hurst,ATL,10.0
115,Noah Fant,DEN,8.0
116,Pittsburgh Steelers,DST,8.0
117,Mike Williams,LAC,10.0
118,Latavius Murray,NO,6.0
119,Ben Roethlisberger,PIT,8.0
120,Justin Jefferson,MIN,7.0
121,Jared Goff,LAR,9.0
122,Jamison Crowder,NYJ,11.0
123,Zack Moss,BUF,11.0
124,Mecole Hardman,KC,10.0
125,Baltimore Ravens,DST,8.0
126,Henry Ruggs III,LV,6.0
127,Ryan Tannehill,TEN,7.0
128,Darrell Henderson,LAR,9.0
129,Adrian Peterson,WAS,8.0
130,Justin Tucker,BAL,8.0
131,T.J. Hockenson,DET,5.0
132,Alexander Mattison,MIN,7.0
133,Harrison Butker,KC,10.0
134,Mike Gesicki,MIA,11.0
135,Duke Johnson,HOU,8.0
136,Joe Burrow,CIN,9.0
137,Buffalo Bills,DST,11.0
138,Kirk Cousins,MIN,7.0
139,Anthony Miller,CHI,11.0
140,Jimmy Garoppolo,SF,11.0
141,Robby Anderson,CAR,13.0
142,Wil Lutz,NO,6.0
143,Jalen Reagor,PHI,9.0
144,Jack Doyle,IND,7.0
145,Breshad Perriman,NYJ,11.0
146,Jonnu Smith,TEN,7.0
147,Philip Rivers,IND,7.0
148,Blake Jarwin,DAL,10.0
149,Sammy Watkins,KC,10.0
150,Dallas Goedert,PHI,9.0
151,Alshon Jeffery,PHI,9.0
152,Cam Newton,NE,6.0
153,Tony Pollard,DAL,10.0
154,Preston Williams,MIA,11.0
155,Boston Scott,PHI,9.0
156,DeSean Jackson,PHI,9.0
157,Antonio Gibson,WAS,8.0
158,New England Patriots,DST,6.0
159,Chicago Bears,DST,11.0
160,Chase Edmonds,ARI,8.0
161,N'Keal Harry,NE,6.0
162,Justin Jackson,LAC,10.0
163,Kansas City Chiefs,DST,10.0
164,Greg Zuerlein,DAL,10.0
165,New Orleans Saints,DST,6.0
166,Curtis Samuel,CAR,13.0
167,Robbie Gould,SF,11.0
168,Eric Ebron,PIT,8.0
169,A.J. Dillon,GB,5.0
170,Minnesota Vikings,DST,7.0
171,Damien Harris,NE,6.0
172,Michael Pittman Jr.,IND,7.0
173,Los Angeles Rams,DST,9.0
174,Drew Lock,DEN,8.0
175,Lamar Miller,NE,6.0
176,Nyheim Hines,IND,7.0
177,Gardner Minshew II,JAC,7.0
178,Greg Olsen,SEA,6.0
179,Kendrick Bourne,SF,11.0
180,Ian Thomas,CAR,13.0
181,Allen Lazard,GB,5.0
182,Rashaad Penny,SEA,6.0
183,Sam Darnold,NYJ,11.0
184,Ka'imi Fairbairn,HOU,8.0
185,Teddy Bridgewater,CAR,13.0
186,Matt Prater,DET,5.0
187,Chris Herndon IV,NYJ,11.0
188,Dan Bailey,MIN,7.0
189,Jamaal Williams,GB,5.0
190,Tennessee Titans,DST,7.0
191,Younghoe Koo,ATL,10.0
192,Denzel Mims,NYJ,11.0
193,Tampa Bay Buccaneers,DST,13.0
194,Hunter Renfrow,LV,6.0
195,LeSean McCoy,TB,13.0
196,Matt Gay,TB,13.0
197,John Ross,CIN,9.0
198,Indianapolis Colts,DST,7.0
199,Bryce Love,WAS,8.0
200,Dede Westbrook,JAC,7.0
201,Jake Elliott,PHI,9.0
202,Zane Gonzalez,ARI,8.0
203,Bryan Edwards,LV,6.0
204,Larry Fitzgerald,ARI,8.0
205,Tee Higgins,CIN,9.0
206,Washington Football Team,DST,8.0
207,Antonio Brown,,
208,James Washington,PIT,8.0
209,Corey Davis,TEN,7.0
210,Derek Carr,LV,6.0
211,Chris Thompson,JAC,7.0
212,Irv Smith Jr.,MIN,7.0
213,Parris Campbell,IND,7.0
214,Brandon Aiyuk,SF,11.0
215,Tyrell Williams,LV,6.0
216,Kyle Rudolph,MIN,7.0
217,Kenny Stills,HOU,8.0
218,O.J. Howard,TB,13.0
219,Malcolm Brown,LAR,9.0
220,Los Angeles Chargers,DST,10.0
221,Justice Hill,BAL,8.0
222,Ryquell Armstead,JAC,7.0
223,Lynn Bowden Jr.,LV,6.0
224,Denver Broncos,DST,8.0
225,Randall Cobb,HOU,8.0
226,Devin Duvernay,BAL,8.0
227,Dawson Knox,BUF,11.0
228,Frank Gore,NYJ,11.0
229,Darrynton Evans,TEN,7.0
230,Laviska Shenault Jr.,JAC,7.0
231,Philadelphia Eagles,DST,9.0
232,Ryan Fitzpatrick,MIA,11.0
233,Anthony McFarland Jr.,PIT,8.0
234,Royce Freeman,DEN,8.0
235,Joshua Kelley,LAC,10.0
236,Devonta Freeman,,
237,Lamical Perine,NYJ,11.0
238,Tyrod Taylor,LAC,10.0
239,Cole Beasley,BUF,11.0
240,New York Jets,DST,11.0
241,Gus Edwards,BAL,8.0
242,Seattle Seahawks,DST,6.0
243,Mohamed Sanu,NE,6.0
244,Michael Badgley,LAC,10.0
245,Giovani Bernard,CIN,9.0
246,Benny Snell Jr.,PIT,8.0
247,Chase Claypool,PIT,8.0
248,Mason Crosby,GB,5.0
249,Andy Isabella,ARI,8.0
250,Josh Reynolds,LAR,9.0
251,David Njoku,CLE,9.0
252,Green Bay Packers,DST,5.0
253,Will Dissly,SEA,6.0
254,Jace Sternberger,GB,5.0
255,Dallas Cowboys,DST,10.0
256,Cole Kmet,CHI,11.0
257,Dwayne Haskins,WAS,8.0
258,Brandon McManus,DEN,8.0
259,Brian Hill,ATL,10.0
260,Tre'Quan Smith,NO,6.0
261,Carlos Hyde,SEA,6.0
262,Jimmy Graham,CHI,11.0
263,Ito Smith,ATL,10.0
264,Austin Seibert,CLE,9.0
265,Jalen Richard,LV,6.0
266,Cleveland Browns,DST,9.0
267,Joey Slye,CAR,13.0
268,Jaylen Samuels,PIT,8.0
269,KJ Hamler,DEN,8.0
270,Chris Conley,JAC,7.0
271,Dion Lewis,NYG,11.0
272,Logan Thomas,WAS,8.0
273,DeAndre Washington,KC,10.0
274,Gerald Everett,LAR,9.0
275,Jason Myers,SEA,6.0
276,Greg Joseph,TEN,7.0
277,Danny Amendola,DET,5.0
278,Chris Boswell,PIT,8.0
279,Rex Burkhead,NE,6.0
280,Jarrett Stidham,NE,6.0
281,Chase McLaughlin,IND,7.0
282,Miles Boykin,BAL,8.0
283,Randy Bullock,CIN,9.0
284,Darwin Thompson,KC,10.0
285,Houston Texans,DST,8.0
286,Justin Rohrwasser,NE,6.0
287,Stephen Hauschka,,
288,Zach Pascal,IND,7.0
289,Vance McDonald,PIT,8.0
290,Nick Foles,CHI,11.0
291,Stephen Gostkowski,K25,
292,Auden Tate,CIN,9.0
293,Peyton Barber,WAS,8.0
294,Jerick McKinnon,SF,11.0
295,Jason Sanders,MIA,11.0
296,Phillip Dorsett,SEA,6.0
297,Josh Lambo,JAC,7.0
298,Tua Tagovailoa,MIA,11.0
299,Nelson Agholor,LV,6.0
300,Mitch Trubisky,CHI,11.0
301,Steven Sims,WAS,8.0
302,Marquez Valdes-Scantling,GB,5.0
303,Jacob Hollister,SEA,6.0
304,Sam Sloman,LAR,9.0
305,Demarcus Robinson,KC,10.0
306,J.J. Arcega-Whiteside,PHI,9.0
307,David Moore,SEA,6.0
308,Sam Ficken,NYJ,11.0
309,Cameron Brate,TB,13.0
310,Jacksonville Jaguars,DST,7.0
311,Trey Burton,IND,7.0
312,Adam Humphries,TEN,7.0
313,Van Jefferson,LAR,9.0
314,Mike Boone,MIN,7.0
315,Russell Gage,ATL,10.0
316,Dustin Hopkins,WAS,8.0
317,Aldrick Rosas,,
318,Eddy Pineiro,CHI,11.0
319,Daniel Carlson,LV,6.0
320,Reggie Bonnafon,CAR,13.0
321,Darrel Williams,KC,10.0
322,Miami Dolphins,DST,11.0
323,Kalen Ballage,MIA,11.0
324,Scott Miller,TB,13.0
325,Elliott Fry,,
326,Tavon Austin,SF,11.0
327,Tyler Bass,BUF,11.0
328,Quintez Cephus,DET,5.0
329,John Hightower,PHI,9.0
330,Derrius Guice,,
